zone_id,week_start_date,weekly_total_rainfall_mm,weekly_max_rainfall_mm,weekly_max_temp_celsius,weekly_avg_temp_celsius,weekly_max_wind_kmph,weekly_avg_aqi,curfew_days_count,strike_days_count,zone_closure_days_count,has_festival,is_monsoon
ZONE_BOM_01,2026-07-20,354.8,107.0,29.6,28.74285714285714,34.0,158.42857142857142,0,0,4,0,1
ZONE_BOM_01,2026-07-27,120.9,42.9,29.6,28.957142857142856,25.3,151.42857142857142,0,0,0,0,1
ZONE_BOM_01,2026-08-03,76.8,18.7,29.7,29.285714285714285,21.2,139.0,0,0,0,0,1
ZONE_BOM_01,2026-08-10,96.60000000000001,30.6,29.7,28.614285714285717,19.0,142.57142857142858,0,0,0,1,1
ZONE_BOM_01,2026-08-17,61.0,16.7,29.7,29.228571428571428,20.6,146.28571428571428,1,0,1,0,1
ZONE_BOM_01,2026-08-24,36.4,7.6,29.6,29.25714285714286,21.1,134.0,1,0,1,1,1
ZONE_BOM_01,2026-08-31,61.0,16.1,29.6,29.042857142857144,18.4,158.28571428571428,0,0,0,1,1
ZONE_BOM_01,2026-09-07,52.9,25.5,30.0,29.071428571428573,15.3,169.57142857142858,0,0,0,0,1
ZONE_BOM_01,2026-09-14,23.3,10.3,30.0,29.625,20.1,162.0,0,0,0,0,1
ZONE_DEL_01,2026-06-22,4.0,1.2,41.9,40.425,14.3,188.25,0,0,0,1,1
ZONE_DEL_01,2026-06-29,20.0,6.8,41.7,35.84285714285714,14.4,157.71428571428572,0,0,0,0,1
ZONE_DEL_01,2026-07-06,122.9,99.8,36.7,32.9,18.9,156.0,1,0,2,0,1
ZONE_DEL_01,2026-07-13,9.8,3.7,37.4,36.55714285714286,19.6,129.42857142857142,0,0,0,0,1
ZONE_DEL_01,2026-07-20,74.3,31.9,33.7,31.8,16.5,132.71428571428572,0,0,0,0,1
ZONE_DEL_01,2026-07-27,51.900000000000006,19.5,35.3,32.94285714285714,14.4,172.57142857142858,0,0,0,0,1
ZONE_DEL_01,2026-08-03,132.8,58.3,33.8,31.17142857142857,15.8,126.57142857142857,0,0,1,0,1
ZONE_DEL_01,2026-08-10,45.8,12.5,34.4,32.614285714285714,11.1,170.42857142857142,0,0,0,1,1
ZONE_DEL_01,2026-08-17,34.3,8.2,33.6,33.15714285714286,11.7,140.0,1,0,1,0,1
ZONE_DEL_01,2026-08-24,24.5,13.5,34.9,33.44285714285714,13.9,168.0,0,0,0,1,1
ZONE_DEL_01,2026-08-31,76.6,23.5,34.4,31.24285714285714,13.1,145.57142857142858,0,0,0,1,1
ZONE_DEL_01,2026-09-07,19.099999999999998,8.7,34.4,32.471428571428575,14.1,142.0,0,0,0,0,1
ZONE_DEL_01,2026-09-14,7.6000000000000005,3.7,35.0,33.05,14.4,149.0,0,0,0,0,1
ZONE_HYD_01,2026-06-22,21.8,14.6,32.6,30.65,17.3,156.25,1,0,1,1,1
ZONE_HYD_01,2026-06-29,35.9,10.7,29.8,28.357142857142858,25.4,132.14285714285714,0,0,0,0,1
ZONE_HYD_01,2026-07-06,6.2,2.2,33.3,32.27142857142857,25.7,165.28571428571428,0,0,0,0,1
ZONE_HYD_01,2026-07-13,26.799999999999997,13.6,33.9,31.52857142857143,19.0,155.14285714285714,0,1,1,0,1
ZONE_HYD_01,2026-07-20,38.800000000000004,13.9,30.0,28.614285714285717,25.3,132.85714285714286,0,0,0,0,1
ZONE_HYD_01,2026-07-27,70.5,24.9,30.6,28.585714285714285,24.3,137.0,0,0,0,0,1
ZONE_HYD_01,2026-08-03,20.5,9.0,30.6,29.442857142857143,20.0,136.28571428571428,0,0,0,0,1
ZONE_HYD_01,2026-08-10,12.6,3.6,30.8,29.82857142857143,19.8,137.42857142857142,0,0,0,1,1
ZONE_HYD_01,2026-08-17,18.2,11.0,31.5,30.228571428571428,19.4,148.85714285714286,0,1,1,0,1
ZONE_HYD_01,2026-08-24,10.4,3.2,30.4,29.17142857142857,21.5,140.14285714285714,0,0,0,1,1
ZONE_HYD_01,2026-08-31,8.8,5.3,32.0,30.228571428571428,19.7,159.14285714285714,0,0,0,1,1
ZONE_HYD_01,2026-09-07,26.299999999999997,11.7,32.2,31.057142857142857,15.3,156.57142857142858,1,0,1,0,1
ZONE_HYD_01,2026-09-14,12.7,5.5,33.4,31.525,10.7,147.5,0,0,0,0,1
ZONE_MAA_01,2026-06-22,33.7,24.5,37.6,36.225,17.3,159.25,0,0,0,1,1
ZONE_MAA_01,2026-06-29,11.8,5.8,38.4,35.55714285714286,23.0,123.0,0,0,0,0,1
ZONE_MAA_01,2026-07-06,9.3,5.2,39.2,37.55714285714286,26.3,163.28571428571428,1,0,1,0,1
ZONE_MAA_01,2026-07-13,11.3,4.9,38.7,36.51428571428571,19.1,141.57142857142858,0,0,0,0,1
ZONE_MAA_01,2026-07-20,35.6,10.7,36.4,34.714285714285715,17.5,131.57142857142858,0,0,0,0,1
ZONE_MAA_01,2026-07-27,26.0,8.2,37.6,36.48571428571429,23.1,145.14285714285714,0,0,0,0,1
ZONE_MAA_01,2026-08-03,38.5,6.7,34.8,33.94285714285714,19.7,150.71428571428572,0,0,0,0,1
ZONE_MAA_01,2026-08-10,15.6,9.3,35.5,35.08571428571428,18.4,153.57142857142858,1,0,1,1,1
ZONE_MAA_01,2026-08-17,29.4,12.9,36.3,35.75714285714285,20.7,143.71428571428572,0,0,0,0,1
ZONE_MAA_01,2026-08-24,15.1,7.6,36.6,34.77142857142857,18.4,144.14285714285714,1,0,1,1,1
ZONE_MAA_01,2026-08-31,13.1,3.6,35.6,34.41428571428571,16.9,156.85714285714286,1,0,1,1,1
ZONE_MAA_01,2026-09-07,23.3,11.4,35.6,34.214285714285715,14.8,136.57142857142858,0,0,0,0,1
ZONE_MAA_01,2026-09-14,27.4,22.7,36.0,33.525,13.4,152.75,0,1,1,0,1
