claim_id,worker_id,zone_id,week_start_date,gps_deviation_score,device_id_reuse_count,claim_vs_event_gap_minutes,claims_per_worker_per_month,claimed_amount,earnings_loss_amount,disruption_impact_ratio,zone_disruption_risk_index,gps_anomaly_flag,syndicate_device_flag,timing_gap_anomaly_flag,is_fraud_label
CLM_80055,W_86c0380f83020987,ZONE_BOM_01,2026-07-20,3.42,1,33,3,4324.56,6177.95,0.85,1.0,0,0,0,0
CLM_80056,W_86c0380f83020987,ZONE_BOM_01,2026-07-27,0.73,1,41,3,2538.21,3626.01,0.489,0.3856,0,0,0,0
CLM_80057,W_86c0380f83020987,ZONE_BOM_01,2026-08-03,0.57,1,37,2,2145.82,3065.46,0.442,0.277,0,0,0,0
CLM_80058,W_86c0380f83020987,ZONE_BOM_01,2026-08-10,0.8,1,241,2,1289.28,1841.83,0.238,0.3243,0,0,0,0
CLM_80059,W_86c0380f83020987,ZONE_BOM_01,2026-08-17,2.25,1,11,4,2876.43,4109.19,0.577,0.3303,0,0,0,0
CLM_80060,W_47079ae3154e5211,ZONE_MAA_01,2026-07-06,1.72,1,106,2,280.67,400.96,0.15,0.2267,0,0,0,0
CLM_80061,W_47079ae3154e5211,ZONE_MAA_01,2026-09-14,0.93,1,21,1,280.03,400.04,0.15,0.2595,0,0,0,0
CLM_80062,W_f7b997c785123d65,ZONE_HYD_01,2026-07-13,0.55,1,23,3,500.79,715.41,0.15,0.26,0,0,0,0
CLM_80063,W_f7b997c785123d65,ZONE_HYD_01,2026-07-27,1.45,1,29,1,925.6,1322.29,0.225,0.2614,0,0,0,0
CLM_80064,W_f7b997c785123d65,ZONE_HYD_01,2026-08-17,1.35,1,25,3,702.16,1003.09,0.21,0.2359,0,0,0,0
CLM_80065,W_f7b997c785123d65,ZONE_HYD_01,2026-09-07,1.09,1,17,1,437.79,625.41,0.15,0.2599,0,0,0,0
CLM_80066,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-06-29,0.92,1,72,2,321.89,459.84,0.15,0.244,0,0,0,0
CLM_80067,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-07-20,0.34,1,6,2,314.8,449.72,0.15,0.2806,0,0,0,0
CLM_80068,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-08-03,1.18,1,28,5,281.04,401.48,0.174,0.2789,0,0,0,0
CLM_80069,W_1b7967e315ff5f4e,ZONE_BLR_01,2026-08-17,1.13,1,74,3,269.99,385.7,0.15,0.2639,0,0,0,0
CLM_80070,W_c5d6935b8b864525,ZONE_BLR_01,2026-06-29,1.41,1,155,5,406.07,580.1,0.15,0.244,0,0,0,0
CLM_80071,W_c5d6935b8b864525,ZONE_BLR_01,2026-07-20,1.25,1,27,1,579.68,828.12,0.15,0.2806,0,0,0,0
CLM_80072,W_c5d6935b8b864525,ZONE_BLR_01,2026-08-03,0.26,1,81,1,708.49,1012.13,0.215,0.2789,0,0,0,0
CLM_80073,W_c5d6935b8b864525,ZONE_BLR_01,2026-08-17,3.02,1,35,1,489.59,699.41,0.15,0.2639,0,0,0,0
CLM_80074,W_914b535d96d4de31,ZONE_MAA_01,2026-07-06,0.12,1,41,2,222.53,317.9,0.15,0.2267,0,0,0,0
CLM_80075,W_914b535d96d4de31,ZONE_MAA_01,2026-09-14,0.71,1,85,1,303.61,433.73,0.15,0.2595,0,0,0,0
CLM_80076,W_537a103c7feb7b31,ZONE_MAA_01,2026-07-06,0.87,1,194,1,829.77,1185.38,0.15,0.2267,0,0,0,0
CLM_80077,W_537a103c7feb7b31,ZONE_MAA_01,2026-09-14,1.0,1,80,4,569.84,814.06,0.15,0.2595,0,0,0,0
CLM_80078,W_438d1cd789e8f44c,ZONE_DEL_01,2026-06-29,0.08,1,48,3,333.34,476.2,0.155,0.1633,0,0,0,0
CLM_80079,W_438d1cd789e8f44c,ZONE_DEL_01,2026-07-06,0.46,1,18,1,1302.73,1861.05,0.687,0.5602,0,0,0,0
CLM_80080,W_438d1cd789e8f44c,ZONE_DEL_01,2026-07-20,0.49,1,758,2,330.16,471.66,0.205,0.2667,0,0,1,1
CLM_80081,W_438d1cd789e8f44c,ZONE_DEL_01,2026-08-03,1.85,1,106,2,971.98,1388.55,0.502,0.4771,0,0,0,0
CLM_80082,W_438d1cd789e8f44c,ZONE_DEL_01,2026-08-17,0.26,1,18,4,285.12,407.31,0.15,0.2655,0,0,0,0
CLM_80083,W_110d9988d5961d9b,ZONE_BLR_01,2026-06-29,0.62,1,11,3,569.54,813.63,0.15,0.244,0,0,0,0
CLM_80084,W_110d9988d5961d9b,ZONE_BLR_01,2026-07-20,1.48,1,31,1,722.76,1032.52,0.15,0.2806,0,0,0,0
CLM_80085,W_110d9988d5961d9b,ZONE_BLR_01,2026-08-03,35.56,1,64,1,860.66,1229.52,0.199,0.2789,1,0,0,1
CLM_80086,W_110d9988d5961d9b,ZONE_BLR_01,2026-08-17,3.55,1,181,2,512.29,731.85,0.15,0.2639,0,0,0,0
CLM_80087,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-06-29,0.57,1,17,2,641.46,916.37,0.155,0.1633,0,0,0,0
CLM_80088,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-07-06,0.72,1,59,1,3260.08,4657.26,0.85,0.5602,0,0,0,0
CLM_80089,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-07-20,1.11,1,25,2,989.74,1413.91,0.254,0.2667,0,0,0,0
CLM_80090,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-08-03,1.25,1,62,5,2649.11,3784.45,0.679,0.4771,0,0,0,0
CLM_80091,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-08-17,1.7,1,47,1,654.64,935.2,0.15,0.2655,0,0,0,0
CLM_80092,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-06-29,2.46,1,18,1,327.52,467.88,0.155,0.1633,0,0,0,0
CLM_80093,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-07-06,1.9,1,15,1,2346.06,3351.51,0.85,0.5602,0,0,0,0
CLM_80094,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-07-20,3.61,1,36,2,1338.55,1912.21,0.467,0.2667,0,0,0,1
CLM_80095,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-03,1.04,1,23,1,2280.62,3258.03,0.821,0.4771,0,0,0,0
CLM_80096,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-17,1.13,1,82,1,493.33,704.76,0.15,0.2655,0,0,0,0
CLM_80097,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-31,8.1,1,33,2,735.93,1051.33,0.259,0.2815,0,0,0,1
CLM_80098,W_0e34004535fe526f,ZONE_BLR_01,2026-06-29,0.13,1,70,1,577.05,824.36,0.15,0.244,0,0,0,0
CLM_80099,W_0e34004535fe526f,ZONE_BLR_01,2026-07-20,0.04,1,85,2,528.79,755.42,0.15,0.2806,0,0,0,0
CLM_80100,W_0e34004535fe526f,ZONE_BLR_01,2026-08-03,0.12,1,5,2,867.33,1239.05,0.303,0.2789,0,0,0,0
CLM_80101,W_0e34004535fe526f,ZONE_BLR_01,2026-08-17,0.18,1,12,2,552.45,789.21,0.15,0.2639,0,0,0,0
CLM_80102,W_1506ca04b01f071b,ZONE_BLR_01,2026-06-29,0.88,1,15,2,477.48,682.12,0.15,0.244,0,0,0,0
CLM_80103,W_1506ca04b01f071b,ZONE_BLR_01,2026-07-20,1.08,1,23,2,461.36,659.09,0.15,0.2806,0,0,0,0
CLM_80104,W_1506ca04b01f071b,ZONE_BLR_01,2026-08-03,0.5,1,66,1,1213.23,1733.18,0.335,0.2789,0,0,0,0
CLM_80105,W_1506ca04b01f071b,ZONE_BLR_01,2026-08-17,0.53,1,41,2,509.58,727.97,0.15,0.2639,0,0,0,0
CLM_80106,W_ebc11507125ea7ab,ZONE_BOM_01,2026-06-29,1.23,1,20,2,1867.49,2667.84,0.85,1.0,0,0,0,0
CLM_80107,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-06,1.58,1,14,2,1755.84,2508.35,0.798,0.8044,0,0,0,0
CLM_80108,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-13,0.88,1,11,1,956.9,1367.0,0.421,0.4088,0,0,0,0
CLM_80109,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-20,0.41,1,63,2,1881.54,2687.92,0.85,1.0,0,0,0,0
CLM_80110,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-27,0.08,1,69,1,936.83,1338.33,0.442,0.3856,0,0,0,0
CLM_80111,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-03,1.1,1,64,2,809.99,1157.13,0.377,0.277,0,0,0,0
CLM_80112,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-10,1.79,1,17,1,424.0,605.72,0.17,0.3243,0,0,0,0
CLM_80113,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-17,0.88,1,47,2,1210.41,1729.16,0.564,0.3303,0,0,0,0
CLM_80114,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-07-13,1.63,1,135,1,356.43,509.19,0.15,0.26,0,0,0,0
CLM_80115,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-07-27,1.22,1,55,4,512.53,732.19,0.281,0.2614,0,0,0,1
CLM_80116,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-08-17,1.2,1,32,3,420.03,600.05,0.21,0.2359,0,0,0,0
CLM_80117,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-09-07,0.99,1,35,3,222.1,317.29,0.15,0.2599,0,0,0,0
CLM_80118,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-06-29,1.42,1,103,5,812.33,1160.47,0.155,0.1633,0,0,0,0
CLM_80119,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-07-06,3.26,1,146,1,3362.79,4803.98,0.817,0.5602,0,0,0,0
CLM_80120,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-07-20,1.11,1,92,2,831.22,1187.45,0.174,0.2667,0,0,0,0
CLM_80121,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-08-03,0.27,1,46,4,2897.67,4139.53,0.695,0.4771,0,0,0,0
CLM_80122,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-08-17,1.0,1,2346,4,488.51,697.87,0.15,0.2655,0,0,1,1
CLM_80123,W_2d22569d6034337e,ZONE_DEL_01,2026-06-29,2.56,1,116,1,533.26,761.8,0.155,0.1633,0,0,0,0
CLM_80124,W_2d22569d6034337e,ZONE_DEL_01,2026-07-06,0.87,1,10,4,3274.35,4677.64,0.838,0.5602,0,0,0,0
CLM_80125,W_2d22569d6034337e,ZONE_DEL_01,2026-07-20,0.69,1,29,1,800.87,1144.1,0.196,0.2667,0,0,0,0
CLM_80126,W_2d22569d6034337e,ZONE_DEL_01,2026-08-03,1.58,1,66,1,2744.69,3920.99,0.692,0.4771,0,0,0,0
CLM_80127,W_2d22569d6034337e,ZONE_DEL_01,2026-08-17,1.13,1,1229,3,719.92,1028.46,0.15,0.2655,0,0,1,1
CLM_80128,W_0ad5761f7d7ef742,ZONE_DEL_01,2026-06-29,0.27,1,8,1,317.58,453.68,0.155,0.1633,0,0,0,0
CLM_80129,W_0ad5761f7d7ef742,ZONE_DEL_01,2026-07-06,0.39,1,8,1,1384.21,1977.45,0.697,0.5602,0,0,0,0
CLM_80130,W_0ad5761f7d7ef742,ZONE_DEL_01,2026-07-20,1.41,1,15,1,387.25,553.22,0.228,0.2667,0,0,0,0
CLM_80131,W_0ad5761f7d7ef742,ZONE_DEL_01,2026-08-03,2.87,1,11,1,1118.36,1597.66,0.539,0.4771,0,0,0,1
CLM_80132,W_0ad5761f7d7ef742,ZONE_DEL_01,2026-08-17,0.68,1,44,4,374.25,534.64,0.15,0.2655,0,0,0,0
CLM_80133,W_7f2b8b2f12987677,ZONE_BLR_01,2026-06-29,2.43,1,103,3,231.06,330.09,0.15,0.244,0,0,0,0
CLM_80134,W_7f2b8b2f12987677,ZONE_BLR_01,2026-07-20,1.85,1,79,3,347.45,496.36,0.15,0.2806,0,0,0,0
CLM_80135,W_7f2b8b2f12987677,ZONE_BLR_01,2026-08-03,0.35,1,19,2,396.38,566.25,0.183,0.2789,0,0,0,0
CLM_80136,W_7f2b8b2f12987677,ZONE_BLR_01,2026-08-17,0.67,1,6,1,278.04,397.2,0.15,0.2639,0,0,0,0
CLM_80137,W_fe0470c7deaf52e8,ZONE_HYD_01,2026-07-13,1.89,1,28,3,533.29,761.84,0.15,0.26,0,0,0,0
CLM_80138,W_fe0470c7deaf52e8,ZONE_HYD_01,2026-07-27,0.39,1,88,2,576.61,823.73,0.19,0.2614,0,0,0,0
CLM_80139,W_fe0470c7deaf52e8,ZONE_HYD_01,2026-08-17,40.51,1,80,2,799.35,1141.93,0.21,0.2359,1,0,0,1
CLM_80140,W_fe0470c7deaf52e8,ZONE_HYD_01,2026-09-07,0.71,1,802,3,388.95,555.64,0.15,0.2599,0,0,1,1
CLM_80141,W_7e05a7b9838db15e,ZONE_HYD_01,2026-07-13,1.12,1,18,2,618.07,882.96,0.15,0.26,0,0,0,0
CLM_80142,W_7e05a7b9838db15e,ZONE_HYD_01,2026-07-27,1.9,1,47,2,646.76,923.94,0.222,0.2614,0,0,0,1
CLM_80143,W_7e05a7b9838db15e,ZONE_HYD_01,2026-08-17,3.93,1,26,3,759.12,1084.46,0.21,0.2359,0,0,0,1
CLM_80144,W_7e05a7b9838db15e,ZONE_HYD_01,2026-09-07,1.37,1,49,1,514.23,734.61,0.15,0.2599,0,0,0,0
CLM_80145,W_b75e4da4b81942bc,ZONE_BOM_01,2026-06-29,0.2,1,29,1,2965.24,4236.06,0.85,1.0,0,0,0,0
CLM_80146,W_b75e4da4b81942bc,ZONE_BOM_01,2026-07-06,0.74,1,50,1,2952.96,4218.52,0.85,0.8044,0,0,0,0
CLM_80147,W_b75e4da4b81942bc,ZONE_BOM_01,2026-07-13,0.75,1,10,5,1224.45,1749.21,0.347,0.4088,0,0,0,0
CLM_80148,W_b75e4da4b81942bc,ZONE_BOM_01,2026-07-20,1.28,1,6,3,2961.48,4230.68,0.85,1.0,0,0,0,0
CLM_80149,W_b75e4da4b81942bc,ZONE_BOM_01,2026-07-27,2.12,1,115,2,2103.45,3004.93,0.604,0.3856,0,0,0,1
CLM_80150,W_b75e4da4b81942bc,ZONE_BOM_01,2026-08-03,1.05,1,114,2,1573.2,2247.43,0.471,0.277,0,0,0,0
CLM_80151,W_b75e4da4b81942bc,ZONE_BOM_01,2026-08-10,0.67,1,16,1,787.66,1125.23,0.231,0.3243,0,0,0,0
CLM_80152,W_b75e4da4b81942bc,ZONE_BOM_01,2026-08-17,1.07,1,67,2,1770.13,2528.76,0.495,0.3303,0,0,0,0
CLM_80153,W_8f7bc390ef77a6ed,ZONE_MAA_01,2026-07-06,1.42,1,102,3,401.49,573.56,0.15,0.2267,0,0,0,0
CLM_80154,W_8f7bc390ef77a6ed,ZONE_MAA_01,2026-09-14,0.8,1,16,1,407.27,581.82,0.15,0.2595,0,0,0,0
CLM_80155,W_fbb5ef8af78d1c37,ZONE_MAA_01,2026-07-06,0.5,1,133,2,386.08,551.55,0.15,0.2267,0,0,0,0
CLM_80156,W_fbb5ef8af78d1c37,ZONE_MAA_01,2026-09-14,0.3,1,62,2,370.72,529.6,0.15,0.2595,0,0,0,0
CLM_80157,W_44ba6a5a94b29722,ZONE_BOM_01,2026-06-29,4.98,1,47,1,3492.47,4989.25,0.85,1.0,0,0,0,0
CLM_80158,W_44ba6a5a94b29722,ZONE_BOM_01,2026-07-06,0.2,1,89,2,3382.46,4832.08,0.823,0.8044,0,0,0,0
CLM_80159,W_44ba6a5a94b29722,ZONE_BOM_01,2026-07-13,1.94,1,11,3,1379.0,1970.0,0.353,0.4088,0,0,0,0
CLM_80160,W_44ba6a5a94b29722,ZONE_BOM_01,2026-07-20,2.37,1,46,2,3445.39,4921.99,0.85,1.0,0,0,0,0
CLM_80161,W_44ba6a5a94b29722,ZONE_BOM_01,2026-07-27,0.82,1,28,1,1925.22,2750.32,0.471,0.3856,0,0,0,0
CLM_80162,W_44ba6a5a94b29722,ZONE_BOM_01,2026-08-03,0.26,1,13,1,1835.44,2622.06,0.443,0.277,0,0,0,0
CLM_80163,W_44ba6a5a94b29722,ZONE_BOM_01,2026-08-10,0.76,1,214,2,1221.07,1744.38,0.283,0.3243,0,0,0,0
CLM_80164,W_44ba6a5a94b29722,ZONE_BOM_01,2026-08-17,1.21,1,98,3,2168.23,3097.47,0.528,0.3303,0,0,0,0
CLM_80165,W_2d25d41da2176452,ZONE_HYD_01,2026-07-13,2.26,1,93,1,630.38,900.54,0.15,0.26,0,0,0,0
CLM_80166,W_2d25d41da2176452,ZONE_HYD_01,2026-07-27,1.4,1,39,2,609.45,870.64,0.168,0.2614,0,0,0,0
CLM_80167,W_2d25d41da2176452,ZONE_HYD_01,2026-08-17,1.96,1,24,3,836.66,1195.23,0.21,0.2359,0,0,0,0
CLM_80168,W_2d25d41da2176452,ZONE_HYD_01,2026-09-07,1.05,1,14,3,765.5,1093.57,0.15,0.2599,0,0,0,0
CLM_80169,W_a7415d1d0a8e7157,ZONE_HYD_01,2026-07-13,0.64,1,17,2,299.63,428.05,0.15,0.26,0,0,0,0
CLM_80170,W_a7415d1d0a8e7157,ZONE_HYD_01,2026-07-27,0.95,1,51,2,446.12,637.32,0.215,0.2614,0,0,0,0
CLM_80171,W_a7415d1d0a8e7157,ZONE_HYD_01,2026-08-17,0.97,1,86,3,500.95,715.64,0.21,0.2359,0,0,0,0
CLM_80172,W_a7415d1d0a8e7157,ZONE_HYD_01,2026-09-07,0.01,1,15,3,293.36,419.08,0.15,0.2599,0,0,0,0
CLM_80173,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-06-29,0.72,1,13,1,2505.41,3579.16,0.85,1.0,0,0,0,0
CLM_80174,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-07-06,0.74,1,56,2,2125.37,3036.24,0.702,0.8044,0,0,0,0
CLM_80175,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-07-13,0.33,1,74,2,925.39,1321.98,0.337,0.4088,0,0,0,0
CLM_80176,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-07-20,0.43,1,15,3,2507.22,3581.75,0.85,1.0,0,0,0,0
CLM_80177,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-07-27,0.63,1,27,1,1150.63,1643.76,0.388,0.3856,0,0,0,0
CLM_80178,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-08-03,1.0,1,39,1,1310.56,1872.23,0.416,0.277,0,0,0,0
CLM_80179,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-08-10,0.48,1,27,3,696.56,995.09,0.264,0.3243,0,0,0,0
CLM_80180,W_d0aa81eeb84cae89,ZONE_BOM_01,2026-08-17,1.63,1,126,2,1491.44,2130.63,0.52,0.3303,0,0,0,0
CLM_80181,W_19de3fcfd11cddb9,ZONE_BOM_01,2026-06-29,5.47,1,103,3,1649.69,2356.7,0.85,1.0,0,0,0,0
CLM_80182,W_19de3fcfd11cddb9,ZONE_BOM_01,2026-07-06,1.56,1,109,4,1285.31,1836.16,0.675,0.8044,0,0,0,0
CLM_80183,W_19de3fcfd11cddb9,ZONE_BOM_01,2026-07-13,0.61,1,71,3,836.28,1194.68,0.416,0.4088,0,0,0,0
