claim_id,worker_id,zone_id,week_start_date,claim_timestamp,disruption_event_id,gps_deviation_score,device_id,device_id_reuse_count,syndicate_cluster_flag,weather_verification_discrepancy,claim_vs_event_gap_minutes,claims_per_worker_per_month,claimed_amount,approved_amount,is_fraud_label
CLM_80070,W_c5d6935b8b864525,ZONE_BLR_01,2026-06-29,2026-06-30 02:35:00,EVT_ZONE_BLR_01_20260629,1.41,DEV_aeb888c5e04e,1,False,0.1,155,5,406.07,406.07,0
CLM_80071,W_c5d6935b8b864525,ZONE_BLR_01,2026-07-20,2026-07-23 00:27:00,EVT_ZONE_BLR_01_20260720,1.25,DEV_aeb888c5e04e,1,False,0.03,27,1,579.68,579.68,0
CLM_80072,W_c5d6935b8b864525,ZONE_BLR_01,2026-08-03,2026-08-07 01:21:00,EVT_ZONE_BLR_01_20260803,0.26,DEV_aeb888c5e04e,1,False,0.02,81,1,708.49,708.49,0
CLM_80073,W_c5d6935b8b864525,ZONE_BLR_01,2026-08-17,2026-08-18 00:35:00,EVT_ZONE_BLR_01_20260817,3.02,DEV_aeb888c5e04e,1,False,0.0,35,1,489.59,489.59,0
CLM_80074,W_914b535d96d4de31,ZONE_MAA_01,2026-07-06,2026-07-09 00:41:00,EVT_ZONE_MAA_01_20260706,0.12,DEV_9d2757b9d82a,1,False,0.01,41,2,222.53,222.53,0
CLM_80075,W_914b535d96d4de31,ZONE_MAA_01,2026-09-14,2026-09-19 01:25:00,EVT_ZONE_MAA_01_20260914,0.71,DEV_9d2757b9d82a,1,False,0.01,85,1,303.61,303.61,0
CLM_80076,W_537a103c7feb7b31,ZONE_MAA_01,2026-07-06,2026-07-07 03:14:00,EVT_ZONE_MAA_01_20260706,0.87,DEV_b8e7e2d7ba5d,1,False,0.03,194,1,829.77,829.77,0
CLM_80077,W_537a103c7feb7b31,ZONE_MAA_01,2026-09-14,2026-09-16 01:20:00,EVT_ZONE_MAA_01_20260914,1.0,DEV_b8e7e2d7ba5d,1,False,0.03,80,4,569.84,569.84,0
CLM_80078,W_438d1cd789e8f44c,ZONE_DEL_01,2026-06-29,2026-07-02 00:48:00,EVT_ZONE_DEL_01_20260629,0.08,DEV_223a4ceeb2be,1,False,0.06,48,3,333.34,333.34,0
CLM_80079,W_438d1cd789e8f44c,ZONE_DEL_01,2026-07-06,2026-07-10 00:18:00,EVT_ZONE_DEL_01_20260706,0.46,DEV_223a4ceeb2be,1,False,0.04,18,1,1302.73,1302.73,0
CLM_80080,W_438d1cd789e8f44c,ZONE_DEL_01,2026-07-20,2026-07-22 12:38:00,EVT_ZONE_DEL_01_20260720,0.49,DEV_223a4ceeb2be,1,False,0.05,758,2,330.16,0.0,1
CLM_80081,W_438d1cd789e8f44c,ZONE_DEL_01,2026-08-03,2026-08-05 01:46:00,EVT_ZONE_DEL_01_20260803,1.85,DEV_223a4ceeb2be,1,False,0.04,106,2,971.98,971.98,0
CLM_80082,W_438d1cd789e8f44c,ZONE_DEL_01,2026-08-17,2026-08-20 00:18:00,EVT_ZONE_DEL_01_20260817,0.26,DEV_223a4ceeb2be,1,False,0.04,18,4,285.12,285.12,0
CLM_80083,W_110d9988d5961d9b,ZONE_BLR_01,2026-06-29,2026-07-04 00:11:00,EVT_ZONE_BLR_01_20260629,0.62,DEV_1636e6a7d9d9,1,False,0.07,11,3,569.54,569.54,0
CLM_80084,W_110d9988d5961d9b,ZONE_BLR_01,2026-07-20,2026-07-22 00:31:00,EVT_ZONE_BLR_01_20260720,1.48,DEV_1636e6a7d9d9,1,False,0.0,31,1,722.76,722.76,0
CLM_80085,W_110d9988d5961d9b,ZONE_BLR_01,2026-08-03,2026-08-04 01:04:00,EVT_ZONE_BLR_01_20260803,35.56,DEV_1636e6a7d9d9,1,False,0.07,64,1,860.66,0.0,1
CLM_80086,W_110d9988d5961d9b,ZONE_BLR_01,2026-08-17,2026-08-18 03:01:00,EVT_ZONE_BLR_01_20260817,3.55,DEV_1636e6a7d9d9,1,False,0.07,181,2,512.29,512.29,0
CLM_80087,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-06-29,2026-06-30 00:17:00,EVT_ZONE_DEL_01_20260629,0.57,DEV_86a4359ae4a2,1,False,0.04,17,2,641.46,641.46,0
CLM_80088,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-07-06,2026-07-07 00:59:00,EVT_ZONE_DEL_01_20260706,0.72,DEV_86a4359ae4a2,1,False,0.01,59,1,3260.08,3260.08,0
CLM_80089,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-07-20,2026-07-24 00:25:00,EVT_ZONE_DEL_01_20260720,1.11,DEV_86a4359ae4a2,1,False,0.08,25,2,989.74,989.74,0
CLM_80090,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-08-03,2026-08-07 01:02:00,EVT_ZONE_DEL_01_20260803,1.25,DEV_86a4359ae4a2,1,False,0.05,62,5,2649.11,2649.11,0
CLM_80091,W_d98a52f9cbeb1634,ZONE_DEL_01,2026-08-17,2026-08-20 00:47:00,EVT_ZONE_DEL_01_20260817,1.7,DEV_86a4359ae4a2,1,False,0.08,47,1,654.64,654.64,0
CLM_80092,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-06-29,2026-07-02 00:18:00,EVT_ZONE_DEL_01_20260629,2.46,DEV_3ef1059e840e,1,False,0.1,18,1,327.52,327.52,0
CLM_80093,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-07-06,2026-07-10 00:15:00,EVT_ZONE_DEL_01_20260706,1.9,DEV_3ef1059e840e,1,False,0.01,15,1,2346.06,2346.06,0
CLM_80094,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-07-20,2026-07-22 00:36:00,EVT_ZONE_DEL_01_20260720,3.61,DEV_3ef1059e840e,1,False,0.87,36,2,1338.55,0.0,1
CLM_80095,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-03,2026-08-05 00:23:00,EVT_ZONE_DEL_01_20260803,1.04,DEV_3ef1059e840e,1,False,0.06,23,1,2280.62,2280.62,0
CLM_80096,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-17,2026-08-21 01:22:00,EVT_ZONE_DEL_01_20260817,1.13,DEV_3ef1059e840e,1,False,0.04,82,1,493.33,493.33,0
CLM_80097,W_08e6fccb88fab6c5,ZONE_DEL_01,2026-08-31,2026-09-01 00:33:00,EVT_ZONE_DEL_01_20260831,8.1,DEV_3ef1059e840e,1,False,0.71,33,2,735.93,0.0,1
CLM_80098,W_0e34004535fe526f,ZONE_BLR_01,2026-06-29,2026-07-04 01:10:00,EVT_ZONE_BLR_01_20260629,0.13,DEV_b17538ac0274,1,False,0.04,70,1,577.05,577.05,0
CLM_80099,W_0e34004535fe526f,ZONE_BLR_01,2026-07-20,2026-07-21 01:25:00,EVT_ZONE_BLR_01_20260720,0.04,DEV_b17538ac0274,1,False,0.09,85,2,528.79,528.79,0
CLM_80100,W_0e34004535fe526f,ZONE_BLR_01,2026-08-03,2026-08-08 00:05:00,EVT_ZONE_BLR_01_20260803,0.12,DEV_b17538ac0274,1,False,0.07,5,2,867.33,867.33,0
CLM_80101,W_0e34004535fe526f,ZONE_BLR_01,2026-08-17,2026-08-22 00:12:00,EVT_ZONE_BLR_01_20260817,0.18,DEV_b17538ac0274,1,False,0.09,12,2,552.45,552.45,0
CLM_80102,W_1506ca04b01f071b,ZONE_BLR_01,2026-06-29,2026-07-01 00:15:00,EVT_ZONE_BLR_01_20260629,0.88,DEV_d7ee54b75854,1,False,0.03,15,2,477.48,477.48,0
CLM_80103,W_1506ca04b01f071b,ZONE_BLR_01,2026-07-20,2026-07-21 00:23:00,EVT_ZONE_BLR_01_20260720,1.08,DEV_d7ee54b75854,1,False,0.06,23,2,461.36,461.36,0
CLM_80104,W_1506ca04b01f071b,ZONE_BLR_01,2026-08-03,2026-08-07 01:06:00,EVT_ZONE_BLR_01_20260803,0.5,DEV_d7ee54b75854,1,False,0.0,66,1,1213.23,1213.23,0
CLM_80105,W_1506ca04b01f071b,ZONE_BLR_01,2026-08-17,2026-08-22 00:41:00,EVT_ZONE_BLR_01_20260817,0.53,DEV_d7ee54b75854,1,False,0.05,41,2,509.58,509.58,0
CLM_80106,W_ebc11507125ea7ab,ZONE_BOM_01,2026-06-29,2026-07-02 00:20:00,EVT_ZONE_BOM_01_20260629,1.23,DEV_dce3da5618da,1,False,0.03,20,2,1867.49,1867.49,0
CLM_80107,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-06,2026-07-07 00:14:00,EVT_ZONE_BOM_01_20260706,1.58,DEV_dce3da5618da,1,False,0.04,14,2,1755.84,1755.84,0
CLM_80108,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-13,2026-07-17 00:11:00,EVT_ZONE_BOM_01_20260713,0.88,DEV_dce3da5618da,1,False,0.05,11,1,956.9,956.9,0
CLM_80109,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-20,2026-07-21 01:03:00,EVT_ZONE_BOM_01_20260720,0.41,DEV_dce3da5618da,1,False,0.07,63,2,1881.54,1881.54,0
CLM_80110,W_ebc11507125ea7ab,ZONE_BOM_01,2026-07-27,2026-07-31 01:09:00,EVT_ZONE_BOM_01_20260727,0.08,DEV_dce3da5618da,1,False,0.04,69,1,936.83,936.83,0
CLM_80111,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-03,2026-08-06 01:04:00,EVT_ZONE_BOM_01_20260803,1.1,DEV_dce3da5618da,1,False,0.05,64,2,809.99,809.99,0
CLM_80112,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-10,2026-08-11 00:17:00,EVT_ZONE_BOM_01_20260810,1.79,DEV_dce3da5618da,1,False,0.08,17,1,424.0,424.0,0
CLM_80113,W_ebc11507125ea7ab,ZONE_BOM_01,2026-08-17,2026-08-19 00:47:00,EVT_ZONE_BOM_01_20260817,0.88,DEV_dce3da5618da,1,False,0.01,47,2,1210.41,1210.41,0
CLM_80114,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-07-13,2026-07-17 02:15:00,EVT_ZONE_HYD_01_20260713,1.63,DEV_4c98fcfd6027,1,False,0.03,135,1,356.43,356.43,0
CLM_80115,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-07-27,2026-07-31 00:55:00,EVT_ZONE_HYD_01_20260727,1.22,DEV_4c98fcfd6027,1,False,0.74,55,4,512.53,0.0,1
CLM_80116,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-08-17,2026-08-20 00:32:00,EVT_ZONE_HYD_01_20260817,1.2,DEV_4c98fcfd6027,1,False,0.09,32,3,420.03,420.03,0
CLM_80117,W_aa3cde79f1b0b184,ZONE_HYD_01,2026-09-07,2026-09-08 00:35:00,EVT_ZONE_HYD_01_20260907,0.99,DEV_4c98fcfd6027,1,False,0.06,35,3,222.1,222.1,0
CLM_80118,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-06-29,2026-06-30 01:43:00,EVT_ZONE_DEL_01_20260629,1.42,DEV_e16e9ea0b7ad,1,False,0.09,103,5,812.33,812.33,0
CLM_80119,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-07-06,2026-07-09 02:26:00,EVT_ZONE_DEL_01_20260706,3.26,DEV_e16e9ea0b7ad,1,False,0.09,146,1,3362.79,3362.79,0
CLM_80120,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-07-20,2026-07-23 01:32:00,EVT_ZONE_DEL_01_20260720,1.11,DEV_e16e9ea0b7ad,1,False,0.08,92,2,831.22,831.22,0
CLM_80121,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-08-03,2026-08-08 00:46:00,EVT_ZONE_DEL_01_20260803,0.27,DEV_e16e9ea0b7ad,1,False,0.06,46,4,2897.67,2897.67,0
CLM_80122,W_1081496b0d8c1a2e,ZONE_DEL_01,2026-08-17,2026-08-20 15:06:00,EVT_ZONE_DEL_01_20260817,1.0,DEV_e16e9ea0b7ad,1,False,0.01,2346,4,488.51,0.0,1
CLM_80123,W_2d22569d6034337e,ZONE_DEL_01,2026-06-29,2026-07-04 01:56:00,EVT_ZONE_DEL_01_20260629,2.56,DEV_0f8e18c95e64,1,False,0.09,116,1,533.26,533.26,0
