worker_id,zone_id,city,zone_tier,persona_category,vehicle_type,vulnerability_score,tenure_days,work_pattern_type,avg_active_hours_per_week,avg_active_days_per_month,historical_weekly_income,rating
W_1b04112ad75f09b0,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Scooter,1.0,131,Full-Time,50.8,25,5621.85,4.8
W_86c0380f83020987,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,143,Full-Time,66.5,26,7228.62,4.49
W_47079ae3154e5211,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,127,Part-Time,25.0,13,2607.25,4.82
W_f7b997c785123d65,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,104,Full-Time,49.5,23,5557.15,4.52
W_1b7967e315ff5f4e,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,116,Part-Time,26.4,11,2940.28,4.39
W_c5d6935b8b864525,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,197,Full-Time,44.6,23,4426.24,5.0
W_914b535d96d4de31,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Bicycle,1.8,610,Part-Time,29.3,13,2595.76,4.89
W_537a103c7feb7b31,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,42,Full-Time,60.3,25,6228.87,4.86
W_438d1cd789e8f44c,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,26,Part-Time,23.2,14,2655.12,4.36
W_110d9988d5961d9b,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,52,Full-Time,48.1,22,5492.11,4.72
W_d98a52f9cbeb1634,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,242,Full-Time,56.4,28,5522.19,4.62
W_08e6fccb88fab6c5,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Bicycle,1.8,51,Full-Time,45.4,27,3961.41,4.44
W_0e34004535fe526f,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,41,Full-Time,40.7,26,4450.23,4.47
W_1506ca04b01f071b,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,208,Full-Time,50.3,27,5321.87,5.0
W_ebc11507125ea7ab,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,33,Part-Time,28.2,15,3155.52,4.57
W_aa3cde79f1b0b184,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,208,Part-Time,31.1,17,2934.89,4.41
W_1081496b0d8c1a2e,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Scooter,1.0,20,Full-Time,52.5,25,5886.86,4.27
W_2d22569d6034337e,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,61,Full-Time,52.8,25,5616.81,4.3
W_0ad5761f7d7ef742,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,309,Part-Time,27.6,10,2890.96,4.57
W_7f2b8b2f12987677,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,51,Part-Time,27.8,15,2865.4,4.71
W_fe0470c7deaf52e8,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,20,Full-Time,45.5,26,4897.67,4.76
W_7e05a7b9838db15e,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,350,Full-Time,42.8,28,4664.63,4.47
W_b75e4da4b81942bc,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Bike,1.2,521,Full-Time,47.4,23,4975.09,4.82
W_8f7bc390ef77a6ed,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,110,Full-Time,49.2,25,5146.99,4.94
W_fbb5ef8af78d1c37,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bike,1.2,237,Part-Time,30.1,14,3079.18,4.52
W_44ba6a5a94b29722,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,107,Full-Time,53.4,27,5837.93,4.7
W_2d25d41da2176452,ZONE_HYD_01,Hyderabad,Metro,Q_Commerce,Scooter,1.0,531,Full-Time,61.8,26,6097.81,4.84
W_a7415d1d0a8e7157,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,144,Part-Time,27.6,14,2948.4,4.82
W_d0aa81eeb84cae89,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,57,Full-Time,41.4,23,4245.16,4.95
W_19de3fcfd11cddb9,ZONE_BOM_01,Mumbai,Metro,E_Commerce,Scooter,1.0,224,Part-Time,25.3,14,2778.78,4.76
W_7c0fe1dbaf8590e4,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,269,Full-Time,45.1,25,4766.95,4.57
W_23011d139948d52c,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,19,Full-Time,45.2,26,4634.75,4.56
W_3c0e64a301ae5edc,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Scooter,1.0,20,Full-Time,49.0,26,5157.97,4.52
W_b237d83a4d2a0e7d,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Scooter,1.0,165,Full-Time,56.9,23,5961.49,5.0
W_0bcb7f8dc0134fd1,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,494,Part-Time,30.2,13,3398.63,4.47
W_efb187f43ff6fab9,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,105,Part-Time,15.0,14,1563.93,4.34
W_c9343b30f4467310,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,109,Part-Time,25.4,21,2527.19,4.74
W_d7c92b49ddff2b6b,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,69,Full-Time,46.3,27,4829.52,4.4
W_19ad745c3995d6f0,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,23,Part-Time,22.0,16,2207.51,4.37
W_e4d6b1a96865b125,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,76,Full-Time,57.4,29,6507.64,5.0
W_0be024ebb1180e4f,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,116,Full-Time,48.3,30,4778.57,4.65
W_7409fa98753c15e8,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,136,Full-Time,42.0,26,4264.09,4.79
W_e9981c8467200278,ZONE_HYD_01,Hyderabad,Metro,Q_Commerce,Bike,1.2,177,Part-Time,20.6,14,2160.53,4.87
W_fa55d937b339bd13,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Bike,1.2,127,Full-Time,46.0,25,4330.44,4.61
W_e02e72a23df33b08,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,36,Full-Time,54.4,25,5727.59,4.58
W_69390287654665b0,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,133,Full-Time,59.2,26,6687.28,4.82
W_3eedf2345c580b41,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bike,1.2,139,Full-Time,58.6,26,6038.33,4.88
W_427b5c492ddd6098,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,358,Full-Time,54.3,26,5490.5,4.25
W_704ed00ce5f65bc7,ZONE_HYD_01,Hyderabad,Metro,Q_Commerce,Bicycle,1.8,177,Full-Time,57.2,27,5363.3,4.37
W_36ef6d1e1def4cde,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,335,Full-Time,46.7,25,4677.0,4.71
W_d7d3177e85e4dccd,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,85,Full-Time,55.9,27,5521.0,4.57
W_83dfd05e11e962e8,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bike,1.2,158,Full-Time,55.7,30,5304.21,5.0
W_fffc6daf42faa934,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,414,Full-Time,42.5,24,4235.54,4.6
W_048e554423539f57,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,83,Full-Time,62.1,24,6844.79,4.73
W_a2433eb122c14254,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Bike,1.2,957,Full-Time,46.4,27,4676.72,4.49
W_0b08262ea0d9ba65,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Bike,1.2,356,Full-Time,49.2,22,5112.43,4.58
W_a7088775dee01a79,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,336,Full-Time,50.6,27,5286.64,4.46
W_b5465b8ea3e6c59b,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,139,Full-Time,58.6,26,5815.73,4.38
W_14b3cf65a0556b53,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Scooter,1.0,199,Part-Time,28.3,20,2965.38,4.79
W_fa42c58b8e9f42f3,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,252,Part-Time,26.8,15,2883.93,4.52
W_01624169e6774b8c,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,66,Part-Time,28.5,10,3264.66,4.36
W_25440c2551afb2ba,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bicycle,1.8,46,Full-Time,50.9,25,4677.05,4.13
W_a67e67df3e474a61,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,124,Part-Time,22.3,13,2348.95,5.0
W_74c5dc4729a717f3,ZONE_BLR_01,Bangalore,Metro,E_Commerce,Scooter,1.0,171,Part-Time,24.7,12,2688.46,4.23
W_4122300498fcabb0,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,22,Full-Time,45.9,29,4691.66,4.88
W_4caaa9b9adefcce3,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Scooter,1.0,165,Full-Time,53.1,28,5304.19,4.6
W_288eecdb59811787,ZONE_MAA_01,Chennai,Metro,E_Commerce,Scooter,1.0,84,Part-Time,28.2,20,3031.65,4.26
W_30c19def9adcb74f,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,73,Full-Time,58.6,26,6248.3,4.79
W_2ab23fbe3087d5c4,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,556,Part-Time,21.7,15,2439.22,5.0
W_debaf724a7b4b70e,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,184,Full-Time,54.2,23,5666.94,4.59
W_f3201ecf78f39792,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,304,Full-Time,50.4,26,5019.97,4.95
W_df7d87fe5dbc220a,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Scooter,1.0,155,Part-Time,18.9,21,2172.51,4.31
W_a5b732a3ca5b34b8,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,61,Full-Time,55.0,28,5631.01,4.79
W_f498084b6dd51eef,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,24,Full-Time,48.9,24,5142.26,4.72
W_0da839274534be02,ZONE_BOM_01,Mumbai,Metro,E_Commerce,Bike,1.2,160,Full-Time,37.0,25,3487.66,4.65
W_5155baf7916a96d6,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bike,1.2,148,Full-Time,55.7,27,6047.52,4.16
W_6c840b2074eb7f1e,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,94,Full-Time,48.6,26,4755.62,4.38
W_8ca9d997fc2e6f36,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,25,Full-Time,57.8,23,5863.4,4.94
W_774a75f4dd081a7b,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,83,Full-Time,47.6,26,5032.83,4.78
W_93ca4ee16cc4ed93,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,131,Full-Time,55.7,28,5724.06,4.43
W_440cfcfb6438fefd,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,185,Full-Time,44.1,30,4904.24,4.61
W_17578dcbfaff6983,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,377,Full-Time,59.2,26,6648.88,4.69
W_ff23389b3dc2235a,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Scooter,1.0,195,Full-Time,49.8,28,4957.39,5.0
W_9e054c0902affdde,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,134,Full-Time,48.5,23,5080.94,4.19
W_87764060b92ef109,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,27,Full-Time,45.7,24,4456.0,4.4
W_9e7aaf116f1edf69,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,301,Full-Time,57.3,23,6203.0,4.82
W_e039f49e8855a50d,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,84,Part-Time,30.9,16,3141.41,4.56
W_c224a11bd32a2686,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,49,Full-Time,52.4,25,5722.33,4.43
W_61009cb4f5f0b454,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Scooter,1.0,137,Full-Time,51.6,27,5327.89,4.32
W_156ada9ef3a8f171,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,68,Full-Time,54.7,28,5666.92,4.41
W_b8449e41f752198a,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,335,Full-Time,49.1,29,4894.61,5.0
W_467b1d9222c0c2d0,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,315,Full-Time,47.8,24,4797.83,4.92
W_97586ce0c6f201d7,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,405,Full-Time,55.6,27,6247.94,4.96
W_26d612d35978c5cf,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bicycle,1.8,62,Full-Time,55.9,25,4761.5,4.58
W_bbb8a07d30866190,ZONE_BOM_01,Mumbai,Metro,E_Commerce,Bike,1.2,22,Full-Time,54.7,22,5946.95,4.39
W_c8e24308d7ed987a,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Bicycle,1.8,44,Full-Time,42.8,23,4171.88,4.54
W_c6885404a630931a,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bicycle,1.8,43,Full-Time,46.6,28,4186.82,4.85
W_324ffa8bbe5e7ad4,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,290,Full-Time,42.7,24,4352.66,4.59
W_bf528323a1ddf0c4,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,294,Full-Time,56.5,28,5591.81,4.99
W_d1e323d965ebbf5b,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,365,Part-Time,23.5,18,2661.3,4.51
W_f1e3f6f876e764f3,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Scooter,1.0,38,Full-Time,54.5,30,5846.82,4.65
W_15d6fc2bd0f99831,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,63,Full-Time,47.0,25,4934.1,4.89
W_45309da989e79e0b,ZONE_BLR_01,Bangalore,Metro,E_Commerce,Scooter,1.0,81,Full-Time,47.8,28,5232.7,5.0
W_6f828cfa696b66e4,ZONE_BOM_01,Mumbai,Metro,E_Commerce,Bike,1.2,196,Full-Time,55.0,25,5768.56,5.0
W_f0dfeeb5232d5b8a,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Scooter,1.0,343,Part-Time,17.6,17,1765.95,4.86
W_ceedd2206c87cd76,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bike,1.2,86,Full-Time,53.9,23,5327.41,4.6
W_6433eaaed98a697a,ZONE_DEL_01,Delhi_NCR,Metro,Q_Commerce,Bike,1.2,104,Full-Time,48.5,25,5165.07,4.73
W_a0660018b5c7bfbb,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bicycle,1.8,119,Full-Time,43.8,23,4034.06,4.65
W_b73755066d8f7bee,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,150,Full-Time,58.3,20,6297.85,4.3
W_c5c1c0b9e16fbae0,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,125,Full-Time,55.0,28,5814.13,4.86
W_3dc1c5e0c4515940,ZONE_HYD_01,Hyderabad,Metro,Q_Commerce,Scooter,1.0,100,Full-Time,47.0,25,4632.33,4.82
W_d5e174d6541fdf55,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,38,Full-Time,54.9,27,5567.28,4.69
W_1f0259ac1eb10568,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,238,Full-Time,50.3,25,5597.47,4.64
W_1ed2975b552c19ef,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,120,Part-Time,30.0,14,2982.27,4.68
W_fe28cf7be69f9956,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Bike,1.2,795,Part-Time,33.2,16,3377.31,4.64
W_2ec0dce8b6e387ed,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bicycle,1.8,16,Part-Time,26.2,14,2345.74,4.29
W_09f55b06fea94393,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bicycle,1.8,115,Full-Time,48.9,26,4262.72,4.37
W_8f1e62a4025d151f,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,566,Full-Time,39.5,25,3964.3,4.61
W_5fd6fc233c629496,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,86,Part-Time,23.7,16,2450.39,4.76
W_7bf86a3e77822877,ZONE_DEL_01,Delhi_NCR,Metro,E_Commerce,Bike,1.2,66,Part-Time,21.8,16,2385.64,4.6
W_35c97ac5ec454310,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,307,Full-Time,53.3,26,5014.18,4.96
W_f8858ff3e5051c86,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,53,Part-Time,33.5,12,3703.2,4.96
W_f32a3843bf2929a5,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,22,Full-Time,50.8,25,5109.9,4.46
W_1b7e389b0fbc2a98,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bike,1.2,37,Part-Time,28.6,19,3081.93,4.66
W_352b016972689a21,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bicycle,1.8,53,Full-Time,63.3,24,5929.64,4.94
W_60553a562ab6a7f2,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,323,Full-Time,55.2,27,6313.05,5.0
W_0b478719825e0080,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,63,Part-Time,27.7,13,2822.7,4.57
W_f8c79f3c29285144,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Bicycle,1.8,53,Full-Time,61.6,26,5847.3,4.1
W_15d5e30ace24d9a9,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,360,Full-Time,38.2,24,4140.83,4.61
W_a69b3416f454131e,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bike,1.2,16,Full-Time,48.8,25,5304.79,4.38
W_f9bfdca1cf2eeca9,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Bike,1.2,120,Full-Time,51.7,29,5054.21,4.81
W_bbb7c13213af9802,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,89,Full-Time,45.4,23,5064.48,4.89
W_aba3400fc421af23,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,191,Full-Time,53.5,29,5511.43,4.62
W_1c2bd39507a85c2e,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bicycle,1.8,247,Full-Time,48.4,22,4309.61,4.78
W_267d567a8c3d1814,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,121,Full-Time,54.7,24,6087.85,4.66
W_56ec7eb4eed5b146,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,52,Full-Time,47.5,28,5196.93,4.72
W_d0546cf1f9834998,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,105,Full-Time,61.7,24,6641.22,4.59
W_5f0fdf2510d6c035,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,121,Part-Time,32.4,16,3332.44,4.58
W_37286c3d6cd650a5,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bike,1.2,256,Full-Time,50.0,23,4804.91,4.25
W_3da66f7f999ea8d2,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,27,Full-Time,40.8,27,4473.48,4.9
W_920b7777eddc774b,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,284,Part-Time,22.8,18,2280.96,4.56
W_c0c9210bc101366b,ZONE_BOM_01,Mumbai,Metro,Q_Commerce,Bike,1.2,42,Part-Time,28.3,18,2710.68,4.69
W_dc7d78cca46a3b0d,ZONE_HYD_01,Hyderabad,Metro,Q_Commerce,Scooter,1.0,229,Part-Time,17.7,13,1824.42,4.92
W_389fc546f40d7534,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,133,Part-Time,25.5,15,2867.2,4.91
W_fa3032d0327a462b,ZONE_BLR_01,Bangalore,Metro,E_Commerce,Scooter,1.0,212,Part-Time,29.0,17,2952.85,5.0
W_26d4157836929115,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Scooter,1.0,309,Full-Time,53.5,21,5452.58,5.0
W_ade7dcd72d784710,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,21,Full-Time,47.4,21,5269.15,4.66
W_9848d02b418bea42,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Scooter,1.0,85,Full-Time,52.8,24,5259.59,4.35
W_0458a8227990f06a,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Scooter,1.0,351,Full-Time,59.5,27,6328.42,4.85
W_077170b5c8ed69fa,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,21,Part-Time,25.5,13,2564.66,4.94
W_b370bd5ae6a9e5f5,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,92,Full-Time,50.7,25,5563.58,4.88
W_57aaba236d77b93c,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bike,1.2,146,Full-Time,56.2,30,5534.84,4.76
W_03b9f42be7e6a117,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bike,1.2,48,Full-Time,57.2,25,5473.41,4.43
W_4a2f54ba870d9558,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,265,Full-Time,52.5,22,5014.31,4.71
W_6ce9fab807f0cf69,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,39,Full-Time,54.4,26,5896.78,4.7
W_e58250428367733f,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Bike,1.2,83,Full-Time,55.7,24,5473.73,4.63
W_aa635392c7191062,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,187,Full-Time,59.3,25,6072.39,5.0
W_19eead91b8a3ef2f,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,561,Full-Time,59.0,25,6021.66,4.75
W_130c62b1780d5442,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,333,Part-Time,26.7,18,2808.31,4.67
W_b3a42227b037774e,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Bike,1.2,115,Full-Time,60.2,25,5746.66,4.34
W_f048af82c0c850a4,ZONE_BLR_01,Bangalore,Metro,Q_Commerce,Bicycle,1.8,103,Full-Time,55.4,27,4730.77,4.85
W_cefdf79a59137c33,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Bicycle,1.8,64,Part-Time,24.5,14,2214.97,5.0
W_52ff32f5e6826a91,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bicycle,1.8,183,Full-Time,60.0,28,5414.37,4.46
W_c2a41f580914475e,ZONE_HYD_01,Hyderabad,Metro,Food_Delivery,Bike,1.2,211,Part-Time,22.0,13,2197.09,4.71
W_1c1e8e267cbe669c,ZONE_DEL_01,Delhi_NCR,Metro,Food_Delivery,Scooter,1.0,16,Full-Time,58.3,24,6248.56,5.0
W_76f3b54ed7bb701d,ZONE_BOM_01,Mumbai,Metro,Food_Delivery,Scooter,1.0,120,Full-Time,55.3,21,6128.61,4.61
W_13bf1445fdc63abb,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Scooter,1.0,46,Part-Time,26.3,17,2690.86,4.74
W_90d2aadfa09bdbf7,ZONE_MAA_01,Chennai,Metro,Food_Delivery,Bicycle,1.8,80,Full-Time,50.4,22,4891.63,4.58
W_ab21517ad7062176,ZONE_MAA_01,Chennai,Metro,Q_Commerce,Bicycle,1.8,124,Full-Time,50.5,28,4270.33,4.54
W_f4d96630bc33709b,ZONE_BLR_01,Bangalore,Metro,Food_Delivery,Scooter,1.0,22,Full-Time,46.2,27,4698.09,4.63
W_299c2ad60340816a,ZONE_HYD_01,Hyderabad,Metro,E_Commerce,Scooter,1.0,166,Full-Time,45.4,24,4947.53,4.69
