date,week_start_date,zone_id,city,zone_tier,rainfall_mm,peak_hour_rain_mm,temperature_celsius,wind_speed_kmph,weather_code,aqi_index,dominant_pollutant,curfew_flag,strike_flag,zone_closure_flag,platform_outage_hours,festival_flag,is_monsoon_period
2026-08-24,2026-08-24,ZONE_BLR_01,Bangalore,Metro,18.2,7.3,25.8,19.0,63,212,PM2.5,False,False,False,0.0,False,True
2026-08-25,2026-08-24,ZONE_BLR_01,Bangalore,Metro,6.3,4.7,27.7,19.7,61,132,PM10,False,False,False,0.0,False,True
2026-08-26,2026-08-24,ZONE_BLR_01,Bangalore,Metro,1.9,0.9,28.7,17.3,53,138,PM10,False,False,False,0.0,True,True
2026-08-27,2026-08-24,ZONE_BLR_01,Bangalore,Metro,2.0,1.5,28.8,18.9,53,187,PM10,False,False,False,0.0,False,True
2026-08-28,2026-08-24,ZONE_BLR_01,Bangalore,Metro,1.3,0.5,28.3,18.9,51,166,PM10,False,False,False,0.0,False,True
2026-08-29,2026-08-24,ZONE_BLR_01,Bangalore,Metro,2.8,1.8,28.0,22.3,55,157,PM10,False,False,False,0.0,False,True
2026-08-30,2026-08-24,ZONE_BLR_01,Bangalore,Metro,3.2,1.5,28.8,19.8,53,178,PM10,False,False,False,0.0,False,True
2026-08-31,2026-08-31,ZONE_BLR_01,Bangalore,Metro,1.0,0.9,28.6,19.3,51,206,PM2.5,False,False,False,0.0,False,True
2026-09-01,2026-08-31,ZONE_BLR_01,Bangalore,Metro,2.2,0.8,28.7,15.9,51,100,O3,False,False,False,0.0,False,True
2026-09-02,2026-08-31,ZONE_BLR_01,Bangalore,Metro,1.8,0.9,30.2,13.6,53,168,PM10,False,False,False,0.0,False,True
2026-09-03,2026-08-31,ZONE_BLR_01,Bangalore,Metro,3.6,2.4,28.7,16.3,61,105,PM10,False,False,False,0.0,False,True
2026-09-04,2026-08-31,ZONE_BLR_01,Bangalore,Metro,3.5,1.6,29.3,13.1,61,103,PM10,False,False,False,0.0,True,True
2026-09-05,2026-08-31,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,30.8,11.4,3,150,PM10,True,False,True,0.0,False,True
2026-09-06,2026-08-31,ZONE_BLR_01,Bangalore,Metro,1.1,0.8,30.5,12.4,51,167,PM10,False,False,False,0.0,False,True
2026-09-07,2026-09-07,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,30.9,13.3,3,166,PM10,False,False,False,0.0,False,True
2026-09-08,2026-09-07,ZONE_BLR_01,Bangalore,Metro,1.6,1.3,31.0,14.9,53,85,O3,False,False,False,0.0,False,True
2026-09-09,2026-09-07,ZONE_BLR_01,Bangalore,Metro,5.1,2.7,30.6,14.6,63,154,PM10,False,False,False,0.0,False,True
2026-09-10,2026-09-07,ZONE_BLR_01,Bangalore,Metro,1.0,0.4,30.1,13.7,51,96,O3,False,False,False,0.0,False,True
2026-09-11,2026-09-07,ZONE_BLR_01,Bangalore,Metro,0.7,0.2,31.0,13.1,51,162,PM10,False,False,False,0.0,False,True
2026-09-12,2026-09-07,ZONE_BLR_01,Bangalore,Metro,0.1,0.0,30.4,9.9,51,129,PM10,False,False,False,0.0,False,True
2026-09-13,2026-09-07,ZONE_BLR_01,Bangalore,Metro,0.0,0.0,30.4,9.9,3,106,PM10,False,False,False,0.0,False,True
2026-09-14,2026-09-14,ZONE_BLR_01,Bangalore,Metro,9.1,5.0,30.4,11.1,63,91,O3,False,False,False,0.0,False,True
2026-09-15,2026-09-14,ZONE_BLR_01,Bangalore,Metro,9.0,2.1,30.8,12.7,61,173,PM10,False,False,False,0.0,False,True
2026-09-16,2026-09-14,ZONE_BLR_01,Bangalore,Metro,5.4,4.2,30.0,8.3,63,139,PM10,False,False,False,0.0,False,True
2026-09-17,2026-09-14,ZONE_BLR_01,Bangalore,Metro,9.6,4.5,30.5,13.6,61,147,PM10,False,False,False,0.0,False,True
2026-06-25,2026-06-22,ZONE_DEL_01,Delhi_NCR,Metro,0.8,0.2,39.0,10.9,51,193,PM10,False,False,False,0.0,False,True
2026-06-26,2026-06-22,ZONE_DEL_01,Delhi_NCR,Metro,1.2,0.7,40.7,7.4,53,210,PM2.5,False,False,False,0.0,True,True
2026-06-27,2026-06-22,ZONE_DEL_01,Delhi_NCR,Metro,1.0,0.6,40.1,12.8,53,197,PM10,False,False,False,0.0,False,True
2026-06-28,2026-06-22,ZONE_DEL_01,Delhi_NCR,Metro,1.0,0.6,41.9,14.3,53,153,PM10,False,False,False,0.0,False,True
2026-06-29,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,1.4,1.2,41.7,13.7,55,122,PM10,False,False,False,0.0,False,True
2026-06-30,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,4.4,2.1,39.5,14.4,61,167,PM10,False,False,False,0.0,False,True
2026-07-01,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,1.8,1.2,32.7,13.8,53,154,PM10,False,False,False,0.0,False,True
2026-07-02,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,6.8,4.2,31.5,7.4,63,159,PM10,False,False,False,0.0,False,True
2026-07-03,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,0.5,0.3,34.5,7.9,51,135,PM10,False,False,False,0.0,False,True
2026-07-04,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,1.4,0.8,36.5,6.8,51,155,PM10,False,False,False,0.0,False,True
2026-07-05,2026-06-29,ZONE_DEL_01,Delhi_NCR,Metro,3.7,1.4,34.5,8.8,63,212,PM2.5,False,False,False,3.1,False,True
2026-07-06,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,0.5,0.1,36.7,7.3,51,177,PM10,False,False,False,0.0,False,True
2026-07-07,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,8.4,2.8,32.8,9.8,63,209,PM2.5,False,False,False,0.0,False,True
2026-07-08,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,11.8,1.0,29.3,10.8,61,152,PM10,True,False,True,0.0,False,True
2026-07-09,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,99.8,61.3,29.2,18.9,65,135,PM10,False,False,True,0.0,False,True
2026-07-10,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,0.6,0.3,33.0,11.5,51,143,PM10,False,False,False,0.0,False,True
2026-07-11,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,0.3,0.1,34.3,11.8,51,168,PM10,False,False,False,0.0,False,True
2026-07-12,2026-07-06,ZONE_DEL_01,Delhi_NCR,Metro,1.5,0.8,35.0,12.3,53,108,PM10,False,False,False,0.0,False,True
2026-07-13,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,0.1,0.0,35.8,13.7,51,153,PM10,False,False,False,0.0,False,True
2026-07-14,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,2.3,0.6,36.2,19.6,55,132,PM10,False,False,False,0.0,False,True
2026-07-15,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,3.4,2.2,36.3,9.7,61,83,O3,False,False,False,0.0,False,True
2026-07-16,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,37.3,12.6,3,171,PM10,False,False,False,0.0,False,True
2026-07-17,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,0.3,0.1,37.4,12.1,51,181,PM10,False,False,False,0.0,False,True
2026-07-18,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,36.3,14.9,3,81,O3,False,False,False,0.0,False,True
2026-07-19,2026-07-13,ZONE_DEL_01,Delhi_NCR,Metro,3.7,2.0,36.6,11.2,61,105,PM10,False,False,False,0.0,False,True
2026-07-20,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,31.9,22.7,31.7,11.5,63,162,PM10,False,False,False,0.0,False,True
2026-07-21,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,14.7,10.8,29.9,12.2,63,186,PM10,False,False,False,0.0,False,True
2026-07-22,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,5.7,4.9,31.8,16.5,55,117,PM10,False,False,False,0.0,False,True
2026-07-23,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,9.8,5.7,32.2,15.0,63,104,PM10,False,False,False,0.0,False,True
2026-07-24,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,8.5,2.4,31.0,14.7,63,108,PM10,False,False,False,0.0,False,True
2026-07-25,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,2.3,1.7,32.3,12.6,51,138,PM10,False,False,False,0.0,False,True
2026-07-26,2026-07-20,ZONE_DEL_01,Delhi_NCR,Metro,1.4,0.9,33.7,9.6,51,114,PM10,False,False,False,0.0,False,True
2026-07-27,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,0.6,0.2,35.3,11.6,51,172,PM10,False,False,False,0.0,False,True
2026-07-28,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,19.5,8.5,31.0,13.3,63,149,PM10,False,False,False,0.0,False,True
2026-07-29,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,5.8,1.6,32.5,7.0,61,176,PM10,False,False,False,0.0,False,True
2026-07-30,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,10.8,4.4,33.2,13.0,63,130,PM10,False,False,False,0.0,False,True
2026-07-31,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,4.9,2.3,32.5,14.4,61,192,PM10,False,False,False,0.0,False,True
2026-08-01,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,5.5,2.8,32.4,12.5,63,212,PM2.5,False,False,False,0.0,False,True
2026-08-02,2026-07-27,ZONE_DEL_01,Delhi_NCR,Metro,4.8,2.6,33.7,12.0,53,177,PM10,False,False,False,0.0,False,True
2026-08-03,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,14.3,9.7,33.4,11.9,63,85,O3,False,False,False,0.0,False,True
2026-08-04,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,13.6,3.5,29.5,8.7,61,89,O3,False,False,False,0.0,False,True
2026-08-05,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,1.9,1.0,32.5,7.7,55,112,PM10,False,False,False,0.0,False,True
2026-08-06,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,12.8,4.5,27.8,8.4,63,187,PM10,False,False,False,0.0,False,True
2026-08-07,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,58.3,29.8,29.1,14.4,65,138,PM10,False,False,True,0.0,False,True
2026-08-08,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,28.9,13.2,32.1,15.8,63,85,O3,False,False,False,0.0,False,True
2026-08-09,2026-08-03,ZONE_DEL_01,Delhi_NCR,Metro,3.0,1.2,33.8,8.4,53,190,PM10,False,False,False,0.0,False,True
2026-08-10,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,7.7,3.4,33.2,10.8,63,218,PM2.5,False,False,False,0.0,False,True
2026-08-11,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,12.5,8.6,30.4,9.7,63,110,PM10,False,False,False,0.0,False,True
2026-08-12,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,2.0,0.9,34.4,11.1,53,219,PM2.5,False,False,False,0.0,False,True
2026-08-13,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,2.6,0.5,33.6,9.2,55,111,PM10,False,False,False,0.0,False,True
2026-08-14,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,11.6,8.1,30.9,6.0,63,204,PM2.5,False,False,False,0.0,False,True
2026-08-15,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,4.5,2.5,32.5,8.5,55,132,PM10,False,False,False,0.0,True,True
2026-08-16,2026-08-10,ZONE_DEL_01,Delhi_NCR,Metro,4.9,2.0,33.3,10.4,63,199,PM10,False,False,False,0.0,False,True
2026-08-17,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,4.5,1.4,33.0,11.7,61,117,PM10,False,False,False,0.0,False,True
2026-08-18,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,3.0,1.4,33.1,9.6,55,177,PM10,False,False,False,0.0,False,True
2026-08-19,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,5.2,2.2,33.2,7.5,63,195,PM10,False,False,False,0.0,False,True
2026-08-20,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,4.5,1.5,33.2,7.5,61,80,O3,False,False,False,0.0,False,True
2026-08-21,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,0.9,0.4,33.6,11.1,53,189,PM10,False,False,False,0.0,False,True
2026-08-22,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,8.0,6.2,33.3,10.0,63,94,O3,False,False,False,0.0,False,True
2026-08-23,2026-08-17,ZONE_DEL_01,Delhi_NCR,Metro,8.2,5.2,32.7,10.4,63,128,PM10,True,False,True,0.0,False,True
2026-08-24,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,6.9,4.5,31.7,10.8,63,148,PM10,False,False,False,0.0,False,True
2026-08-25,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,3.4,2.9,32.6,7.3,55,102,PM10,False,False,False,0.0,False,True
2026-08-26,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,13.5,6.9,32.3,8.2,65,213,PM2.5,False,False,False,0.0,True,True
2026-08-27,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,34.4,9.0,3,217,PM2.5,False,False,False,0.0,False,True
2026-08-28,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,0.5,0.4,34.2,13.9,53,109,PM10,False,False,False,0.0,False,True
2026-08-29,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,34.9,12.6,3,201,PM2.5,False,False,False,0.0,False,True
2026-08-30,2026-08-24,ZONE_DEL_01,Delhi_NCR,Metro,0.2,0.1,34.0,10.8,51,186,PM10,False,False,False,0.0,False,True
2026-08-31,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,0.7,0.4,34.4,12.6,51,175,PM10,False,False,False,0.0,False,True
2026-09-01,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,3.9,1.2,34.3,10.4,61,123,PM10,False,False,False,0.0,False,True
2026-09-02,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,13.6,2.2,32.5,9.3,65,189,PM10,False,False,False,0.0,False,True
2026-09-03,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,3.5,1.9,31.8,9.5,53,166,PM10,False,False,False,0.0,False,True
2026-09-04,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,13.3,9.1,30.2,9.1,63,84,O3,False,False,False,0.0,True,True
2026-09-05,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,23.5,6.2,27.9,13.1,63,103,PM10,False,False,False,0.0,False,True
2026-09-06,2026-08-31,ZONE_DEL_01,Delhi_NCR,Metro,18.1,9.1,27.6,12.4,63,179,PM10,False,False,False,0.0,False,True
2026-09-07,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,0.9,0.3,32.4,9.2,53,156,PM10,False,False,False,0.0,False,True
2026-09-08,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,1.3,0.6,32.4,12.8,53,114,PM10,False,False,False,0.0,False,True
2026-09-09,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,33.5,13.8,1,172,PM10,False,False,False,0.0,False,True
2026-09-10,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,0.0,0.0,34.4,11.5,2,111,PM10,False,False,False,0.0,False,True
2026-09-11,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,8.7,5.3,31.1,14.1,63,107,PM10,False,False,False,0.0,False,True
2026-09-12,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,7.6,1.3,31.0,11.2,63,128,PM10,False,False,False,0.0,False,True
2026-09-13,2026-09-07,ZONE_DEL_01,Delhi_NCR,Metro,0.6,0.3,32.5,10.3,51,206,PM2.5,False,False,False,0.0,False,True
2026-09-14,2026-09-14,ZONE_DEL_01,Delhi_NCR,Metro,3.7,0.6,31.8,11.1,55,182,PM10,False,False,False,0.0,False,True
2026-09-15,2026-09-14,ZONE_DEL_01,Delhi_NCR,Metro,1.6,0.7,32.9,14.4,53,199,PM10,False,False,False,0.0,False,True
2026-09-16,2026-09-14,ZONE_DEL_01,Delhi_NCR,Metro,0.3,0.2,35.0,7.8,51,102,PM10,False,False,False,0.0,False,True
2026-09-17,2026-09-14,ZONE_DEL_01,Delhi_NCR,Metro,2.0,1.3,32.5,13.5,61,113,PM10,False,False,False,0.0,False,True
2026-06-25,2026-06-22,ZONE_BOM_01,Mumbai,Metro,6.7,2.1,29.7,15.3,55,166,PM10,False,False,False,0.0,False,True
2026-06-26,2026-06-22,ZONE_BOM_01,Mumbai,Metro,5.8,1.7,30.3,15.3,61,198,PM10,False,False,False,0.0,True,True
2026-06-27,2026-06-22,ZONE_BOM_01,Mumbai,Metro,0.8,0.3,31.1,11.2,51,154,PM10,False,False,False,0.0,False,True
2026-06-28,2026-06-22,ZONE_BOM_01,Mumbai,Metro,11.5,4.0,30.6,13.0,63,218,PM2.5,False,False,False,0.0,False,True
2026-06-29,2026-06-29,ZONE_BOM_01,Mumbai,Metro,26.4,10.3,28.4,12.4,61,99,O3,False,False,False,0.0,False,True
2026-06-30,2026-06-29,ZONE_BOM_01,Mumbai,Metro,57.5,19.4,28.6,20.7,63,174,PM10,False,False,True,0.0,False,True
2026-07-01,2026-06-29,ZONE_BOM_01,Mumbai,Metro,86.6,43.5,27.3,21.4,65,149,PM10,False,False,True,0.0,False,True
2026-07-02,2026-06-29,ZONE_BOM_01,Mumbai,Metro,55.7,23.7,27.6,19.8,63,110,PM10,False,False,True,0.0,False,True
2026-07-03,2026-06-29,ZONE_BOM_01,Mumbai,Metro,51.8,12.8,27.3,18.8,63,216,PM2.5,False,False,True,0.0,False,True
2026-07-04,2026-06-29,ZONE_BOM_01,Mumbai,Metro,78.1,37.0,27.3,19.1,63,125,PM10,False,False,True,0.0,False,True
2026-07-05,2026-06-29,ZONE_BOM_01,Mumbai,Metro,136.9,107.5,27.0,30.3,65,156,PM10,False,False,True,0.0,False,True
2026-07-06,2026-07-06,ZONE_BOM_01,Mumbai,Metro,131.8,14.0,27.6,34.6,65,113,PM10,False,False,True,0.0,False,True
2026-07-07,2026-07-06,ZONE_BOM_01,Mumbai,Metro,55.4,47.2,28.1,26.5,63,152,PM10,False,False,True,0.0,False,True
2026-07-08,2026-07-06,ZONE_BOM_01,Mumbai,Metro,25.9,3.4,29.2,27.8,63,193,PM10,False,False,False,0.0,False,True
